method,time_years,relative_energy_error
ias15,1.2434390195782514,3.129773777032434e-15
ias15,1.2475563673251968,3.9122172212905425e-15
ias15,1.2516737150721422,1.9561086106452713e-15
ias15,1.2557910628190876,2.5429411938388524e-15
ias15,1.259908410566033,3.129773777032434e-15
ias15,1.2640257583129784,3.9122172212905425e-15
ias15,1.2681431060599238,2.5429411938388524e-15
ias15,1.2722604538068691,2.1517194717097983e-15
ias15,1.2763778015538145,4.107828082355069e-15
ias15,1.28049514930076,1.9561086106452713e-15
ias15,1.2846124970477053,2.934162915967907e-15
ias15,1.2887298447946507,1.3692760274516897e-15
ias15,1.292847192541596,3.9122172212905424e-16
ias15,1.2969645402885415,9.780543053226356e-16
ias15,1.3010818880354869,1.1736651663871627e-15
ias15,1.3051992357824322,2.5429411938388524e-15
ias15,1.3093165835293776,7.824434442581085e-16
ias15,1.313433931276323,2.220446049250313e-16
ias15,1.3175512790232684,2.1517194717097983e-15
ias15,1.3216686267702138,2.934162915967907e-15
ias15,1.3257859745171592,2.3473303327743254e-15
ias15,1.3299033222641046,2.1517194717097983e-15
ias15,1.33402067001105,3.520995499161488e-15
ias15,1.3381380177579953,1.3692760274516897e-15
ias15,1.3422553655049407,1.564886888516217e-15
ias15,1.3463727132518861,3.716606360226015e-15
ias15,1.3504900609988315,2.220446049250313e-16
ias15,1.354607408745777,2.3473303327743254e-15
ias15,1.3587247564927223,7.824434442581085e-16
ias15,1.3628421042396677,2.220446049250313e-16
ias15,1.366959451986613,3.9122172212905424e-16
ias15,1.3710767997335584,5.868325831935813e-16
ias15,1.3751941474805038,4.694660665548651e-15
ias15,1.3793114952274492,9.780543053226356e-16
ias15,1.3834288429743946,2.934162915967907e-15
ias15,1.38754619072134,9.780543053226356e-16
ias15,1.3916635384682854,2.934162915967907e-15
ias15,1.3957808862152308,2.3473303327743254e-15
ias15,1.3998982339621762,3.129773777032434e-15
ias15,1.4040155817091216,3.520995499161488e-15
ias15,1.408132929456067,2.1517194717097983e-15
ias15,1.4122502772030123,5.868325831935814e-15
ias15,1.4163676249499577,2.1517194717097983e-15
ias15,1.420484972696903,3.520995499161488e-15
ias15,1.4246023204438485,3.325384638096961e-15
ias15,1.4287196681907939,3.325384638096961e-15
ias15,1.4328370159377393,4.890271526613178e-15
ias15,1.4369543636846847,5.085882387677705e-15
ias15,1.44107171143163,1.760497749580744e-15
ias15,1.4451890591785754,2.7385520549033795e-15
ias15,1.4493064069255208,1.9561086106452713e-15
ias15,1.4534237546724662,1.1736651663871627e-15
ias15,1.4575411024194116,9.780543053226356e-16
ias15,1.461658450166357,3.716606360226015e-15
ias15,1.4657757979133024,3.716606360226015e-15
ias15,1.4698931456602478,3.716606360226015e-15
ias15,1.4740104934071931,4.499049804484124e-15
ias15,1.4781278411541385,2.7385520549033795e-15
ias15,1.482245188901084,5.477104109806759e-15
ias15,1.4863625366480293,2.1517194717097983e-15
ias15,1.4904798843949747,1.3692760274516897e-15
