# a   rel_err_y0   rel_err_y1   rel_err_y2
3.71535229097172780e-10 9.71266110794122284e-06 1.41503031514389477e-10 0.00000000000000000e+00
3.75837404288443559e-10 1.51892032262956889e-05 3.46069617407351870e-10 0.00000000000000000e+00
3.80189396320561278e-10 7.05065491013456835e-06 7.45677963820412515e-11 2.22044604925031308e-16
3.84591782045354334e-10 4.71139874713699669e-06 3.32960325977182947e-11 0.00000000000000000e+00
3.89045144994280459e-10 1.83272102307618923e-05 5.03832975340401390e-10 0.00000000000000000e+00
3.93550075455778041e-10 1.22818185344097941e-06 2.26274554648853155e-12 0.00000000000000000e+00
3.98107170553496937e-10 5.51963925254916887e-06 4.56995552511330061e-11 0.00000000000000000e+00
4.02717034325459498e-10 9.11887241450415331e-06 1.24731114325982162e-10 0.00000000000000000e+00
4.07380277804112217e-10 2.05687776080321072e-05 6.34607477678628129e-10 0.00000000000000000e+00
4.12097519097330388e-10 7.42306807910431132e-06 8.26529955588739540e-11 0.00000000000000000e+00
4.16869383470334628e-10 2.41054024119335963e-06 8.71602789942471645e-12 0.00000000000000000e+00
4.21696503428582237e-10 5.18549129602252634e-06 4.03341804400270121e-11 3.33066907387546962e-16
4.26579518801593417e-10 1.57638403430748752e-05 3.72750053045933782e-10 0.00000000000000000e+00
4.31519076827764999e-10 1.40134906319033803e-05 2.94568258674132721e-10 2.22044604925031308e-16
4.36515832240166546e-10 1.92889330397072456e-07 5.58442181386453740e-14 0.00000000000000000e+00
4.41570447353312065e-10 1.51487116561987989e-05 3.44226980253381498e-10 1.11022302462515654e-16
4.46683592150963468e-10 7.90664390892814595e-06 9.37727673289145969e-11 0.00000000000000000e+00
4.51855944374921696e-10 1.14908995170193151e-05 1.98060345901751589e-10 2.22044604925031308e-16
4.57088189614875173e-10 3.02066673341094827e-07 1.36890498936281801e-13 1.11022302462515654e-16
4.62381021399259401e-10 9.94265058196219798e-06 1.48284828860312246e-10 2.22044604925031308e-16
4.67735141287198128e-10 8.60459351836873054e-06 1.11058717777723359e-10 0.00000000000000000e+00
4.73151258961481248e-10 3.91786203064459215e-05 2.30247643173697725e-09 0.00000000000000000e+00
4.78630092322637979e-10 6.97811701921846606e-06 7.30410176785767362e-11 0.00000000000000000e+00
4.84172367584099912e-10 2.30222374570931976e-05 7.95041366075111000e-10 0.00000000000000000e+00
4.89778819368445591e-10 3.11064294988838697e-05 1.45142997620695269e-09 1.11022302462515654e-16
4.95450190804790590e-10 2.74331267423599812e-05 1.12885434333520607e-09 1.11022302462515654e-16
5.01187233627271430e-10 4.79262041692685159e-05 3.44543660268925578e-09 0.00000000000000000e+00
5.06990708274704401e-10 7.62484619665215746e-07 8.72080185843060463e-13 1.11022302462515654e-16
5.12861383991365835e-10 1.03101254060877778e-05 1.59448565462128045e-10 1.11022302462515654e-16
5.18800038928960938e-10 3.21940874572490543e-05 1.55470547547054139e-09 0.00000000000000000e+00
5.24807460249773418e-10 1.33608903385429301e-05 2.67768918149613455e-10 0.00000000000000000e+00
5.30884444230987950e-10 4.54743975182303473e-05 3.10192838082201661e-09 2.22044604925031308e-16
5.37031796370253211e-10 2.10345921013432857e-05 6.63676225087783678e-10 0.00000000000000000e+00
5.43250331492432537e-10 2.98589775915569788e-05 1.33735111873534152e-09 0.00000000000000000e+00
5.49540873857624817e-10 1.28491832491750557e-05 2.47653342277942556e-10 2.22044604925031308e-16
5.55904257270402586e-10 9.46898402554019469e-06 1.34492972314603776e-10 2.22044604925031308e-16
5.62341325190349099e-10 2.01485460484818191e-05 6.08949890512633374e-10 2.22044604925031308e-16
5.68852930843842489e-10 1.43024753442855257e-05 3.06839775809919502e-10 0.00000000000000000e+00
5.75439937337156686e-10 3.74614454401456243e-05 2.10506589937153876e-09 0.00000000000000000e+00
5.82103217770872180e-10 1.58851867450016115e-05 3.78506892495522607e-10 0.00000000000000000e+00
5.88843655355588352e-10 3.02862844137052889e-05 1.37590250304242545e-09 0.00000000000000000e+00
5.95662143529010996e-10 1.73523464991331977e-05 4.51653270339136270e-10 2.22044604925031308e-16
6.02559586074356911e-10 2.38651609238971218e-05 8.54325610255557422e-10 2.22044604925031308e-16
6.09536897240169366e-10 1.71467093136312698e-05 4.41011893670406607e-10 0.00000000000000000e+00
